SMILES,Ered_ag,syba_score
CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,-2.67,18.16243559
CCNc1c(C)c(OC)cc2nsnc12,-2.27,32.14066647
Cc1cc2nsnc2c2c1C(C)CCN2,-2.53,-16.31893878
CCC(C)N1CN(C)c2c1cc1nsnc1c2NC,-2.65,10.90311292
CCOc1cc2nsnc2c(NC)c1C,-2.53,31.7266028
CCC(C)N1CN(CC)c2cc3nsnc3c(NC)c21,-2.47,9.990581967
CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.71,16.0078549
CCCN1CN(C)c2c1cc1nsnc1c2NC(C)C,-2.63,16.86769363
CCCCN1c2cc3nsnc3cc2N(CC)C1OC,-2.75,13.12528878
Cc1cc2nsnc2c2c1CCC(C)N2,-2.37,-10.4413333
COc1cc2nsnc2c2c1CC(C)CN2,-2.56,-13.35397853
CCN1CN(C(C)C)c2cc3nsnc3cc21,-2.8,13.68920886
COc1cc2nsnc2cc1OCC(C)C,-2.48,52.16632709
CNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.61,12.75840579
CCOCCN1CCN(C)c2cc3nsnc3c(CC)c21,-2.55,25.8728401
CCCN1CCN(C(C)C)c2cc3nsnc3c(OC)c21,-2.43,19.80878913
CCNc1cc(OCC(C)C)cc2nsnc12,-2.48,51.75094542
CCOC1N(C)c2cc3nsnc3cc2N1CC,-2.71,7.207182729
CCNc1cc(OCC)cc2nsnc12,-2.42,41.49708916
CNc1c(N(C)C)c(OC)cc2nsnc12,-2.64,29.37437055
CCCOc1cc2nsnc2c(NC)c1C,-2.49,39.0507643
CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,-2.82,20.3577935
CCN1c2cc3nsnc3c(C)c2N(CC)C1OC,-2.69,-1.771879077
CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.77,9.105958745
CCC1Oc2c(cc3nsnc3c2N(C)C)OC1C,-2.41,-5.54792411
CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72,22.98856128
CCN1CN(CC(C)C)c2c1cc1nsnc1c2NC,-2.61,13.48244568
CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.65,12.34089985
CCCCN1CCN(C)c2c1c(C)c1nsnc1c2NC,-2.33,17.69625442
CCN(CC)c1c2c(cc3nsnc13)OCC(C)O2,-2.32,-3.576225499
C1CNc2c(c3c(c4nsnc24)CCO3)C1,-2.48,-14.29421176
CCN1CCN(C)c2c1c(NC)c1nsnc1c2C,-2.58,6.605132432
CCCCN1CN(CC)c2c1cc1nsnc1c2C,-2.71,10.77084355
COC1N(C)c2c(cc3nsnc3c2C)N1C(C)C,-2.64,-1.612233144
CCNc1c2c(c(C)c3nsnc13)N(CC)CCN2C,-2.57,9.086052666
CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,-2.81,9.046081733
CCN1CN(C)c2c1c(C)c1nsnc1c2NC,-2.68,2.240000987
CCN1c2cc3nsnc3cc2N(C)C1OC(C)C,-2.71,6.803149175
CCc1c2c(cc3nsnc13)N(CC)C(OC)N2C,-2.71,-1.246439437
CCOc1cc(NCC(C)C)c2nsnc2c1,-2.4,50.87420725
CCc1c2c(c(NC)c3nsnc13)N(C)CCN2CC,-2.49,9.864779337
CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.84,16.53196151
CNc1c2c(c(C)c3nsnc13)N(C)CCN2C(C)C,-2.59,10.43299696
CCOC1N(C)c2cc3nsnc3c(NC)c2N1C,-2.71,8.690235122
COc1cc2nsnc2c(NC(C)C)c1C,-2.78,36.67433527
CNc1c(C(C)C)c(OC)cc2nsnc12,-2.51,30.06240935
CNc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,-2.65,6.675340911
CC1CCNc2c1c1c(c3nsnc23)CCO1,-2.53,-31.18943844
CCNc1cc(OC)cc2nsnc12,-2.34,41.56449971
CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,-2.71,14.10234453
COc1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.59,12.96006921
CCC(C)N1CCN(C)c2c1c(NC)c1nsnc1c2C,-2.59,9.658516755
Cc1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,-2.9,8.859291003
CCNc1c2c(cc3nsnc13)OCCC2,-2.41,20.76337232
CCCc1c(OC)cc2nsnc2c1NC,-2.47,34.20445402
CNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.95,9.76265044
CCc1c2c(cc3nsnc13)N(C(C)CC)CN2C,-2.85,8.845272031
CCc1c2c(c(C)c3nsnc13)N(CC)CN2CC,-2.78,4.90234601
CCc1c2c(cc3nsnc13)N(CC)CN2CC,-2.74,4.464719275
CCCNc1c2c(cc3nsnc13)OCCC2,-2.4,28.55657158
CCC(C)N1CN(CC)c2cc3nsnc3c(C)c21,-2.72,5.366242793
CCOc1cc(NC(C)C)c2nsnc2c1,-2.26,49.24639197
COc1cc2nsnc2c2c1CCCCN2,-2.43,-2.736648622
CCNc1c(CC)c(C)cc2nsnc12,-2.36,31.15265945
CCC(C)N1CN(C)c2c1c(C)c1nsnc1c2C,-2.86,4.702637542
CCOc1cc(NC(C)CC)c2nsnc2c1,-2.62,53.95307235
CCNc1c2c(cc3nsnc13)OCC(C)C2,-2.42,4.137524397
CCCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.85,12.14425804
CCN1c2c(ccc3nsnc23)CCC1C,-2.33,15.08518102
CCNc1cc(OC(C)CC)cc2nsnc12,-2.5,49.19892854
CCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.73,19.13626389
Cc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.72,5.666956704
CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,-2.75,18.25301153
CNc1c2c(cc3nsnc13)OC(C)CC2,-2.44,1.167027006
CNc1c(C)c2c(c3nsnc13)CC(C)O2,-2.45,-1.737845819
CCc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,-2.63,8.153524131
CCOCCN1CN(CC)c2cc3nsnc3cc21,-2.79,18.4431145
CCN1CN(CC)c2c1cc1nsnc1c2C,-2.76,1.898220992
CCCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.63,22.35045008
CCCN1CN(CCC)c2cc3nsnc3cc21,-2.81,12.869527
CCCc1c(C)cc2nsnc2c1NCC,-2.41,34.53960155
CCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.6,6.539460462
CCCOc1cc(NC(C)C)c2nsnc2c1,-2.62,54.74940316
CCC(C)N1CN(C)c2c1cc1nsnc1c2C,-2.81,6.278773749
CCCCN1CN(C)c2cc3nsnc3cc21,-2.74,15.65006189
CCN1c2cc3nsnc3cc2N(C)C1OCC(C)C,-2.7,14.93163755
CCCN1CN(C(C)CC)c2cc3nsnc3cc21,-2.74,15.64440017
CCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.51,13.8641022
CCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.8,5.719778602
CCCN1c2cc3nsnc3c(C)c2N(C)C1OC,-2.65,0.712888706
CCOc1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.6,17.19226625
CNc1c(N(C)C)c(C)cc2nsnc12,-2.37,27.82606117
CCN1CN(C)c2c1c(C)c1nsnc1c2C,-2.73,-0.344519427
CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.78,26.00035595
CCN(C)c1cc(OC)cc2nsnc12,-2.52,35.54095839
CC(C)CN1CN(C)c2cc3nsnc3cc21,-2.8,14.16945436
CCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.83,16.81761784
Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.74,8.134066616
CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.61,9.66786945
CCCN1CN(C)c2c1cc1nsnc1c2C,-2.73,2.750582085
CNc1c2c(c(C)c3nsnc13)OCCC2,-2.47,5.853442963
CNc1c2c(cc3nsnc13)OCCC2C,-2.42,-0.460867148
CCNc1c2c(cc3nsnc13)OC(C)C2C,-2.48,4.307353316
CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,-2.72,10.28641558
CC1CNc2c(c3c(c4nsnc24)CCO3)C1,-2.42,-27.78087512
CCNc1c2c(cc3nsnc13)N(CC)CN2C,-2.72,6.034283883
CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.73,12.95157125
Cc1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.76,1.978052731
CCC(C)OC1N(C)c2cc3nsnc3cc2N1C,-2.74,9.247787007
CNc1c2c(cc3nsnc13)OCCC2,-2.44,15.80426875
CCCCN1CN(CC)c2cc3nsnc3c(C)c21,-2.92,10.26001504
CCNc1c2c(cc3nsnc13)N(CC)CN2CC,-2.99,8.310331778
CCN1c2cc3nsnc3cc2N(C)C1OC,-2.74,2.461340494
COc1cc(NC(C)C)c2nsnc2c1,-2.62,46.9691477
Cc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.78,5.138311266
CCCCN1CN(CCOC)c2cc3nsnc3cc21,-2.62,28.30342756
CNc1cc2c(c3nsnc13)CCC(C)O2,-2.57,-1.970488816
CNc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.64,10.29129588
CCCOc1cc(NC)c2nsnc2c1,-2.55,41.23676743
CNc1c2c(cc3nsnc13)OCC(C)C2,-2.44,-0.821579174
CCNc1c(N(C)C)c(C)cc2nsnc12,-2.36,32.78516474
CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77,18.60085781
CCC(C)N1CN(C)c2cc3nsnc3c(C)c21,-2.99,2.589869776
CNc1c2c(c(C)c3nsnc13)N(C(C)C)CCN2C,-2.5,10.43299696
CCN1CN(C(C)C)c2c1c(C)c1nsnc1c2C,-2.68,6.572767938
Cc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,-2.7,4.090820497
Cc1c2c(cc3nsnc13)N(C)C(OC(C)C)N2C,-2.66,1.876827681
CCCCOc1cc(NC)c2nsnc2c1,-2.48,51.24324275
CCN1CN(C)c2c1c(NC)c1nsnc1c2C,-2.63,1.546852364
CCNc1c2c(c(OC)c3nsnc13)N(C)CCN2C,-2.32,12.90515701
CCCOc1cc(NCC)c2nsnc2c1,-2.5,47.00010035
CCC(C)N1CCN(CC)c2cc3nsnc3c(OC)c21,-2.65,15.24145786
CCc1c2c(c(C)c3nsnc13)CC(C)O2,-2.48,-2.611047952
COc1cc2nsnc2c2c1C(C)(C)CN2,-2.43,-9.634392897
CNc1c(C)c2c(c3nsnc13)C(C)CO2,-2.46,-12.04510219
CNc1c(C)c2c(c3nsnc13)CCO2,-2.45,1.201945838
Cc1c2c(c(C)c3nsnc13)OC(C)C2,-2.47,-8.347732346
CNc1cc(OC)cc2nsnc12,-2.46,32.07021328
CNc1c2c(cc3nsnc13)CCC2C,-2.22,-0.437748213
CC(C)CNc1c2c(cc3nsnc13)C1CCC2C1,-2.5,8.998188132
CCN1CCN(C)c2c1c(C)c1nsnc1c2NC,-2.56,7.298281055
CNc1c2c(cc3nsnc13)N(CCOC)CCN2C,-2.6,26.78981992
CCN1CN(C)c2c1cc1nsnc1c2NC(C)C,-2.67,13.73928464
