SMILES,Complexity,syba_score
CCCCc1cc(CC)c2nsnc2c1/[NH+]=C(\C)[O-],6,22.3827038468413
CCCCOc1c(C)c(/[NH+]=C(\C)[O-])c2nsnc2c1NC,8,29.094911695931472
CCCC1COc2c(c3c(c4nsnc24)OCCN3C)O1,4,-2.8635604930967355
CCCN1c2c(cc3nsnc3c2OC)N(C)C1OC,8,2.30093331741962
COc1c2c(c(/[NH+]=C(\C)[O-])c3nsnc13)N(C)CC(C)C2,7,-8.541647640856137
CCC(C)c1c(N(C)CC)cc2nsnc2c1C,7,29.039416176639648
CCC1Oc2c(c(C)c3nsnc3c2C)OC1C(C)C,8,-5.750602597474439
CCc1c(C)cc2nsnc2c1/[N+](C)=C(/[O-])CC(C)C,7,31.009116093879847
CC/C([O-])=[N+](/CC)c1c2c(cc3nsnc13)CC(C)OCC2,6,-8.333612225844366
CCC(C)N(C)c1c(OC)c(N(C)C)cc2nsnc12,8,33.93703407393855
CC/C([O-])=[NH+]\c1cc(N(C)C)cc2nsnc12,5,21.389652428789397
C/C([O-])=[NH+]\c1c(C)c2c(c3nsnc13)OCC2,6,-3.761952038911765
CC/C([O-])=[NH+]\c1c(N(CC)CC)cc(OC)c2nsnc12,7,24.500196874167486
CCCc1c(OC)cc2nsnc2c1OC(C)=O,6,37.110751531911816
CCN(C)c1cc(/[N+](C)=C(\C)[O-])c2nsnc2c1C,8,26.4759281436275
CCC1COc2c(c3c(c4nsnc24)OCCN3C)O1,4,-8.737686672747738
CCOc1cc(C)c(/[NH+]=C(/[O-])C(C)CC)c2nsnc12,6,21.459935199572865
CCCN1CCN(C)c2cc3nsnc3c(OC(C)CC)c21,6,24.551167517626997
CCOc1cc(N(C)CC)c(N(C)C)c2nsnc12,8,30.199880471932307
Cc1c2c(cc3nsnc13)CC(C)CO2,4,-8.921143776274324
CC(C)N(C)c1cc(N(C)C(C)C)c2nsnc2c1,6,33.35456266920035
CCN1c2c(c3c(c4nsnc24)OCC(C)O3)CC1C,5,-25.14338976155725
CCCc1c(OCC)cc(OCC)c2nsnc12,6,25.4140767291979
C/C([O-])=[N+]1/CCCCc2c3c(c4nsnc4c21)C(C)CO3,5,-13.505499132758976
CCCCOc1c2c(c3nsnc3c1C)OCCN2C,6,16.11862485299919
CC(C)CC(=O)Oc1c2c(cc3nsnc13)C1CCC2CC1,2,20.467188752737723
CCN(c1cc(C)cc2nsnc12)C(C)C,5,37.81206694302384
CCC(C)Oc1c(CC(C)C)cc2nsnc2c1NC,6,37.80820760086709
CCCC/[N+](=C(\[O-])CCC)c1cccc2nsnc12,3,43.99837527900883
CCC/C([O-])=[NH+]\c1ccc(OCC)c2nsnc12,4,30.8871268587774
CCCN(c1ccc(C)c2nsnc12)C(C)CC,5,41.58991675370557
COc1cc2nsnc2c(OC(C)=O)c1OC(C)C,6,37.04556966306098
CCC/C([O-])=[N+](/C)c1c(OC)c(OC)cc2nsnc12,7,30.472232909213673
CCOc1cc(OC(=O)CC)c2nsnc2c1N(C)C,7,39.86846586628762
CCC1COc2c(c(N(C)CC)c3nsnc3c2OC)O1,7,10.395110480128944
CCCOc1cc2nsnc2c2c1OCCO2,3,27.43528804834355
CCC1Cc2c(ccc3nsnc23)N1CC(C)C,3,17.959226898283738
CCc1c2c(cc3nsnc13)N(CCOC)CN2CC,7,14.668560760176382
CCN1CCOc2c1cc(OCCOC)c1nsnc21,5,26.015037021080744
CCC1COc2c(c(C(C)CC)c3nsnc3c2C(C)C)O1,6,7.240690090546877
CCCCc1cc(OC)c2nsnc2c1OC(=O)CCC,6,48.36988060150393
CCCN1CCOc2cc3nsnc3c(C(C)C)c21,4,16.96026546496299
CCOCCc1cc(OC(C)CC)cc2nsnc12,5,52.615107797919514
CCCCc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,6,34.848727605673844
CC(=O)Oc1c2c(cc3nsnc13)OC(C(C)C)C(C)O2,6,2.1148621810626462
[O-]C1=[NH+]c2c(c3c(c4nsnc24)OCCO3)CC1,3,0.7597111192522932
CCc1c2c(cc3nsnc13)CC(C)C2,4,5.036432215607737
C/C([O-])=[N+]1\c2c(c3c(c4nsnc24)CCN3C)CC1C,6,-2.2465032044024325
CCC1COc2cc3nsnc3c(CCN(CC)CC)c2O1,6,16.41838665565158
CCOc1c(OCC(C)C)cc(CC)c2nsnc12,6,43.57021967125497
Cc1cc2c(c3nsnc13)CCCN2C,5,20.064324606730345
CCC(C)N(C)c1cc2nsnc2c(C)c1C,7,32.03013960086747
Cc1c(N(C)C)cc2nsnc2c1CC(C)C,7,32.055817863543616
CCCc1c(OC)c(C)c2nsnc2c1NC,8,25.67606990121572
CCN1CCN(C)c2c1cc1nsnc1c2OCC(C)C,6,22.964653193631854
CCC/[N+](=C(\[O-])CC)c1ccc(/[NH+]=C(\C)[O-])c2nsnc12,5,12.746824394809304
CCN(C)CC/C([O-])=[NH+]\c1ccc(OC)c2nsnc12,6,22.594567973283933
CCC1COc2c(cc3nsnc3c2/[N+](C)=C(\C)[O-])O1,5,-1.539362932044974
C/C([O-])=[NH+]\c1ccc(OCCN(C)C)c2nsnc12,6,31.227342312840953
CCCCc1cc2nsnc2c(CCC)c1OC(C)CC,6,38.871626137221675
CCC1COc2c(c3c(c4nsnc24)N(C)CC3CC)O1,5,-20.253214759040507
CCCN(CC)c1cc2nsnc2c(C)c1N(C)C,8,34.24170071391446
CCC(C)c1c(C)cc(/[NH+]=C(/[O-])CC(C)C)c2nsnc12,6,23.840389078945357
CC/[N+](=C(/C)[O-])c1c2c(c(C)c3nsnc13)N(C)C(C)C2C,8,-2.860406160432141
CCC(C)N(C)c1ccc2nsnc2c1/[N+](C)=C(\C)[O-],6,40.642523795178164
CCCOc1c(N(C)C)cc(CCC)c2nsnc12,7,36.99634898292658
CC1COc2c3c(c4nsnc4c2O1)[N+](C)=C([O-])CC3C,5,-24.85809327379697
CCN(C)c1cc2nsnc2c2c1OCCOC(C)C2,6,0.9843659171050494
CCCc1cc(N(C)CCOC)cc2nsnc12,6,46.83622005583319
CCC/C([O-])=[NH+]\c1ccc(N(CC)CC)c2nsnc12,5,26.04996368739678
CCCCc1cc(OC(C)C)c(N(C)C)c2nsnc12,7,45.091453767840946
CCOc1c(OC(C)C)cc2nsnc2c1NC,6,35.20558645328128
CC(C)COc1ccc2nsnc2c1OC(=O)C(C)C,4,56.72476326519803
CCc1cc(N(CC)C(C)CC)c(C)c2nsnc12,7,31.854628633721045
Cc1c2c(c(N(C)C)c3nsnc13)OC(C)CO2,7,-10.713710486227132
CCC[N+]1=C([O-])Cc2c3c(c4nsnc4c21)CCC(C)N3C,6,-3.3447184670127097
Cc1c2c(cc3nsnc13)CCOCCN2C,6,-4.86368245787072
CCC1COc2c1c(C)c(/[NH+]=C(\C)[O-])c1nsnc21,6,-9.290981462549377
CCC(=O)Oc1c2c(cc3nsnc13)N(C)CN2C,6,8.980844409686133
CCN1CCN(C)c2c3c(c4nsnc4c21)CC(C)C3,5,-1.8696116643799698
CCCCc1cc(OC)c2nsnc2c1N(C)CC,7,39.1347730940025
CCCN(c1c(CC)cc2nsnc2c1C)C(C)CC,7,31.20465059135628
CCCN(CC)c1ccc(OC(C)CC)c2nsnc12,5,50.00485331487761
CCCCOc1c(C)cc2nsnc2c1/[N+](=C(\C)[O-])C(C)C,7,43.40409062360298
CC1COc2c(N(C)C)cc3nsnc3c2C1,5,-1.4493112879817798
COCC/C([O-])=[NH+]\c1cc(OC(C)C)cc2nsnc12,5,33.98202127620968
CCOc1cc2nsnc2c(/[NH+]=C(/[O-])CC)c1N(C)CC,7,24.673469996422018
CCc1c(N(C)C(C)C)cc(OC(C)CC)c2nsnc12,7,42.676747337003235
CCCCc1c2c(cc3nsnc13)OC(C)CO2,4,-5.025628423638278
CCCCc1c(CC)cc(OCC)c2nsnc12,6,37.997306538939135
CCN1CN(C(C)C)c2cc3nsnc3c(OCC(C)C)c21,6,21.454286658557304
CC1CC([O-])=[NH+]c2c(c3c(c4nsnc24)OCC(C)O3)C1,4,-22.19285539347978
CC(C)Cc1c2c(cc3nsnc13)N(C(C)C)CCN2C,6,19.699963412899578
COc1cc2c(c3nsnc13)OCC2(C)C,4,-2.8321166827298554
CCC(C)[N+]1=C([O-])C(C)Cc2ccc3nsnc3c21,3,12.693549100518627
CCOc1c(C)cc(/[NH+]=C(/[O-])CC)c2nsnc12,6,20.0196438340744
